Date,Time,Case,Primary Convective Type,Region,500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg],500m Wind Speed [kts],500m Wind Direction [deg],Upper Level Cap Wind Speed [kts],Upper Level Cap Wind Direction [deg],DAWN PBL Speed Shear [kts],DAWN PBL Directional Shear [deg],DAWN Mid Layer Speed Shear [kts],DAWN Mid Layer Directional Shear [deg],DAWN Upper Layer Speed Shear [kts],DAWN Upper Layer Directional Shear [deg],500m Bottom Cap Profile Height [m],Upper Level Cap Height [m],Environment Falling In,Environment Falling In Ambiguous,Convective Lifecycle
20170610,194659,1,Isolated,Western Atlantic,21.68,274.2,11.37,156.74,19.29,242.67,--,--,--,--,--,--,487.36,7608.5,Clear Near,--,--
20170610,194727,1,Isolated,Western Atlantic,25.5,271.63,10.35,145.24,21.08,248.35,--,--,--,--,--,--,506.23,7612.1,Clear Near,--,--
20170610,194852,1,Isolated,Western Atlantic,20.96,275.51,16.47,158.57,19.95,228.1,--,--,--,--,--,--,498.49,7608.3,Clear Near,--,--
20170610,194920,1,Isolated,Western Atlantic,21.81,266.25,9.45,138.69,17.71,241.21,--,--,--,--,--,--,491.16,7640.4,Clear Near,--,--
20170610,195045,1,Isolated,Western Atlantic,24.35,255.8,9.36,152.65,24.01,233.5,--,--,--,--,--,--,504.4,7617.3,Clear Near,--,--
20170610,195621,1,Isolated,Western Atlantic,18.15,242.47,3.22,126.85,17,232.63,--,--,--,--,--,--,508.99,7621.3,Clear Near,--,--
20170610,200957,1,Isolated,Western Atlantic,42.5,233.24,14.18,142.65,44.66,214.73,--,--,--,--,--,--,479.63,7681.5,Clear Near,--,--
20170610,201554,1,Isolated,Western Atlantic,12.09,312.43,11.86,131.28,0.33,357.8,--,--,--,--,--,--,499.67,7622.3,Clear Near,--,--
20170610,201645,1,Isolated,Western Atlantic,10.15,325.14,12.42,141.11,2.4,123.79,--,--,--,--,--,--,499.17,7552.9,Clear Near,--,--
20170610,201737,1,Isolated,Western Atlantic,15.02,325.67,15.35,147.44,0.57,201.74,--,--,--,--,--,--,489.41,7617.1,Clear Near,--,--
20170610,201829,1,Isolated,Western Atlantic,17.1,319.94,17.12,143.26,0.99,230.37,--,--,--,--,--,--,493.51,7619,Clear Near,--,--
20170610,202246,1,Isolated,Western Atlantic,17.22,325.4,11.45,152.83,6.04,311.21,--,--,--,--,--,--,500.39,7629.3,Clear Near,--,--
20170610,202429,1,Isolated,Western Atlantic,12.32,333.96,10.17,158.83,2.35,312.37,--,--,--,--,--,--,505.4,7630.3,Clear Near,--,--
20170610,202756,1,Isolated,Western Atlantic,11.09,314.41,10.41,154.59,3.83,244.52,--,--,--,--,--,--,514.08,7632.6,Clear Near,--,--
20170610,202847,1,Isolated,Western Atlantic,12.83,315.59,5.79,160.75,7.97,297.6,--,--,--,--,--,--,511.53,7634.5,Clear Near,--,--
20170610,203123,1,Isolated,Western Atlantic,16.7,335.34,8.67,192.94,11.17,307.05,--,--,--,--,--,--,490.32,7611,Clear Near,--,--
20170610,203306,1,Isolated,Western Atlantic,13.4,295.01,5.81,109.32,7.64,299.33,--,--,--,--,--,--,511.36,7637.6,Clear Near,--,--
