Date,Time,Case,Primary Convective Type,Region,500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg],500m Wind Speed [kts],500m Wind Direction [deg],Upper Level Cap Wind Speed [kts],Upper Level Cap Wind Direction [deg],DAWN PBL Speed Shear [kts],DAWN PBL Directional Shear [deg],DAWN Mid Layer Speed Shear [kts],DAWN Mid Layer Directional Shear [deg],DAWN Upper Layer Speed Shear [kts],DAWN Upper Layer Directional Shear [deg],500m Bottom Cap Profile Height [m],Upper Level Cap Height [m],Environment Falling In,Environment Falling In Ambiguous,Convective Lifecycle
20220909,163245,1,Isolated,Eastern Atlantic,23.92,46.22,5.02,155.49,22.76,58.22,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220910,154013,23,Scattered,Eastern Atlantic,13.53,156.78,6.61,194.87,19.17,169.06,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220910,154029,23,Scattered,Eastern Atlantic,17.27,150.25,4.59,225.68,18.95,163.8,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220910,154044,23,Scattered,Eastern Atlantic,14.04,132.82,4.96,209.68,15.92,150.47,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220910,154100,23,Scattered,Eastern Atlantic,15.63,121.92,5.35,219.42,15.84,141.46,--,--,--,--,--,--,495.0,7695.0,Clear Near,--,--
20220910,154439,23,Scattered,Eastern Atlantic,16.95,194.14,3.29,245.81,19.17,201.87,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220910,154510,23,Scattered,Eastern Atlantic,10.03,170.3,6.59,221.75,15.05,190.33,--,--,--,--,--,--,495.0,7665.0,Clear Near,--,--
20220910,164633,23,Scattered,Eastern Atlantic,17.74,53.88,16.23,169.52,18.14,107.67,--,--,--,--,--,--,495.0,7695.0,Clear Near,--,--
20220910,172812,23,Scattered,Eastern Atlantic,20.43,74.89,14.19,217.97,12.46,118.06,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220916,143312,16,Organized,Eastern Atlantic,6.26,31.33,3.54,23.16,9.78,28.38,--,--,--,--,--,--,495.0,7695.0,Clear Near,--,--
20220916,153256,16,Organized,Eastern Atlantic,16.35,210.82,20.12,30.55,3.77,29.38,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220916,170153,17,Organized,Eastern Atlantic,15.75,172.8,12.89,12.99,5.75,122.18,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220916,181001,17,Organized,Eastern Atlantic,22.85,157.69,10.46,334.7,12.42,160.2,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220916,183443,17,Organized,Eastern Atlantic,22.13,181.39,13.53,25.19,11.18,152.16,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220906,160715,9,Organized,Eastern Atlantic,42.77,80.6,22.02,235.76,24.59,102.71,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220906,160840,9,Organized,Eastern Atlantic,17.7,91.44,13.3,201.45,18.14,134.98,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220906,160902,9,Organized,Eastern Atlantic,15.61,64.29,18.12,207.57,10.89,148.54,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220906,161131,10,Organized,Eastern Atlantic,9.52,106.58,12.58,170.28,18.84,143.35,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
20220906,174925,10,Organized,Eastern Atlantic,20.62,219.6,13.59,117.08,22.1,182.72,--,--,--,--,--,--,495.0,7635.0,Clear Near,--,--
