Date,Time,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Evaporating/Dissipating Stratiform,Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20170610,195511,1,Isolated,Mature,Convective,Clear Near,,,,,No,No,Western Atlantic,No,,,,1011.4,64.9,942.2,688.2,574.7,4828.2,402.4,7618.4,453.5,377.9,305.3,92.7,57.5,54.4,59.6,403.8,613,1016.8,0,979.8,--,--,--,,182.9,393.2,576.1,-7.3,938.7,--,-0.36,935,,3.05,296.6,8.57,219.4,13.25,275,21.53,259.6,,,,10011.2,500.1,20.16,259.4
20170610,195833,1,Isolated,Mature,Convective,Clear Near,,,,,No,No,Western Atlantic,No,None,Unclear,Northwest,1003.8,121.6,991.6,229.9,581.8,4726,402.6,7610.7,448.7,371.4,304.6,88.2,71,41.5,60.9,351.4,577.4,928.8,-1.8,960,--,0.41,959.7,,169.8,374.1,543.9,-5.2,919.5,--,-1.41,783.8,,7.15,310.6,8.88,208.8,6.89,279.8,16.55,265.9,,,,10005.5,501.8,12.92,225
20170610,201356,1,Isolated,Mature,Convective,Clear Near,,,,,Yes,Yes,Western Atlantic,No,,,,1012.1,76.8,943.8,692.5,578.9,4788.9,403.5,7610.6,458.1,374.8,304.1,87.3,64.8,37.3,57.7,455,717.9,1172.9,0,975.9,--,--,--,,143.7,386.1,529.8,-15.9,921.6,--,1.35,921.2,,6.62,220.2,7.49,343.4,5.02,305.7,11.39,295.3,,,,10019.9,503.4,11.34,309.5
20170610,202102,1,Isolated,Mature,Convective,Clear Near,,,,,Yes,Yes,Western Atlantic,No,,,,1002.5,157.9,927,846.8,572.3,4886.2,403.5,7615.5,456,362.7,299.3,88.2,60.2,37.7,55.8,456.8,708.3,1165.1,0,968.2,--,--,--,,161.6,413.4,575.1,-7.5,921,--,0.5,920.1,,2.98,168.8,3.71,2.9,10.2,310.4,10.44,315,,,,9960,500.5,13.06,312
20170610,203205,1,Isolated,Mature,Convective,Clear Near,,,,,No,No,Western Atlantic,No,None,Unclear,Southwest,1006.2,99.6,935.4,742.9,580.1,4751.4,402.2,7620.1,453.1,374,303.7,88.6,62.1,45.4,59.2,394.1,686.5,1080.7,-0.2,965.9,--,0.13,965.9,,183.8,462.2,646.1,-3.3,927.4,--,-0.15,903,,6.9,248.5,1.97,349,14,307.7,19.4,294.2,,,,9991.6,498,15.63,308.4
20170610,203902,1,Isolated,Mature,Convective,In Precip,"SkewT indicates ""In Precip""",,,,No,No,Western Atlantic,No,None,Unclear,West,1018.7,8.2,987.9,278.6,585.4,4682.4,402.6,7613.7,452.7,371.1,302.1,95,92.1,53.5,78.9,263.9,419.6,683.6,-0.2,1001.7,--,0.11,1000.6,,175.3,326,501.3,-3.4,960.4,--,-0.06,955.2,,6.2,237.8,9.29,259.2,12.79,298.2,25.28,271.3,,,,9740.1,497.7,20.36,290.7
20170610,205330,1,Isolated,Mature,Stratiform,In Cloud,,,,,Yes,Yes,Western Atlantic,No,,,,1011.3,64.1,954.6,573.5,576.9,4802.4,401.9,7620.8,458.4,376.8,301.7,85,66.1,59,65.3,398.6,655.8,1054.4,-2,967.6,--,-0.22,959.5,,158,386.2,544.2,-18.8,915.3,--,-1.92,809.3,,5.5,222.2,1.41,15.4,6.81,273.3,10.57,257.3,,,,10060.4,501.2,7.03,274.7
20170610,211105,1,Isolated,Mature,Convective,Clear Near,,,,,No,No,Western Atlantic,No,,,,1009.3,124,939.9,753,578,4835.5,404.7,7621.8,453.5,372.1,303.9,84.3,62.7,40.1,57.3,378.8,629.6,1008.4,-1.4,958.9,--,0.19,958.1,,169,400.6,569.6,-11.8,917.1,--,0.81,916.8,,2.75,230.8,1.95,306.9,12.89,307.1,15.55,297.6,,,,10061.8,501.6,16,303.1
20170610,213425,1,Isolated,Mature,Convective,Clear Near,,,,,No,No,Western Atlantic,No,,,,,,,,580.1,4804,404.9,7599,459.8,376.9,--,,,65.5,,,,,,,,,,,,,,,,,,,,,,,,21.85,299.3,,,,,,8620,,,
20170610,214426,1,Isolated,Mature,Convective,In Cloud,,,,,Yes,Yes,Western Atlantic,No,,,,,,,,582.3,4738.1,402.7,7619.5,461.2,367.8,--,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,20.01,306.3,,,,,,8995.3,,,
