Date,Time,Case,Primary Convective Type,Convective Lifecycle,TIMPS ID,TIMPS ID Propagation Speed [m/s],TIMPS ID Propagation Direction (from) [deg],Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Weak Stratiform (Onion-ish Profile (Typically On Outer Edge of Storm)),Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Associated with an AEW,Associated with ITCZ,Associated with Coast,Associated with SAL,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20220909,161243,1,Isolated,Growing,N/A,11.7,83.8,Convective,Clear Near,,,,,No,No,Eastern Atlantic,No,Yes,No,No,No,,,,1010,8.5,958.6,470.6,574.4,4771.8,398.9,7614.5,448.4,364.1,297.9,76.5,73.3,69.2,72.2,263.4,470.6,734,-36.1,933.7,,1.96,933.6,,89.7,183.9,273.6,-96,879.7,304.7,-2.61,534,,8.96,117.7,2.46,49.8,4.37,315.3,6.73,85,,,,9809.99,498.3,3.33,341.3
20220909,162708,1,Isolated,Growing,N/A,11.7,83.8,Convective,Clear Near,,,,,N/A,N/A,Eastern Atlantic,No,Yes,No,No,No,,,,1009.4,4.8,1001.7,73.1,567.6,4854.2,398.2,7619.6,444.6,365.8,304.1,88.2,84.9,36.2,69.6,384.4,504.5,888.9,0,921.9,,,,,311,422.9,733.9,-5.1,950.3,,-0.01,919.1,,,,,,,,,,,,,12044.67,500.2,,
20220909,162948,1,Isolated,Growing,N/A,11.7,83.8,Convective,Clear Near,,,,,Yes,Yes,Eastern Atlantic,No,Yes,No,No,No,,,,1008.3,12.1,960.1,446.4,547.5,5146,398.5,7621.2,442.7,362.8,303.5,83.5,70.3,21.5,58.6,460.8,570.8,1031.6,-3.6,957.7,,0.6,957.4,,264.2,387.6,651.8,-9.2,917.9,,0.95,917.6,,4.63,81.3,10.17,359.1,4.26,141.1,10.16,43.2,,,,12075.73,500.7,8.05,14.4
20220909,163437,1,Isolated,Growing,N/A,11.7,83.8,Convective,In Precip,In Precip below 800mb? Otherwise Clear Near,Yes,Yes,,No,No,Eastern Atlantic,No,Yes,No,No,No,,,,1008.6,13.4,981.7,252.3,554.3,5053.2,398.4,7620.6,447.3,360.5,303,83.2,85.4,48.3,73.8,344.6,520.5,865.1,0,800.6,,,,,245,390.2,635.2,-12.7,937.7,,-1.32,794.4,,14.86,171.6,6.51,84.2,11.56,238.4,20.21,182.8,,,,12036.81,497.8,5.61,226.8
20220909,164942,1,Isolated,Growing,N/A,11.7,83.8,Convective,Clear Near,,,,,No,No,Eastern Atlantic,No,Yes,No,No,No,,,,1009,7.5,945.5,583.3,553.2,5069.3,398.7,7614.6,448.6,361.6,303.3,85.2,71.8,14.9,61.1,501.8,632.6,1134.4,-1.4,952,,0,934.8,,332.5,469.6,802,-7.3,920.2,,0.7,919.7,,2.02,196.8,5.62,88.5,7.53,288.7,2.17,286.3,,,,12033.95,499.6,3.47,336.9
20220909,165847,1,Isolated,Growing,N/A,11.7,83.8,Convective,In Cloud,,,,,Yes,Yes,Eastern Atlantic,No,Yes,No,No,No,,,,1009.8,9.7,972.2,343.8,576.2,4740.8,398.8,7614.1,450.3,364.8,303.9,92.1,85.7,80.6,84.5,320.9,549.7,870.5,-1.1,988.7,,-0.31,975.1,,188.8,399,587.8,-10.1,940.1,,-0.21,878.6,,2.45,258.3,9.63,322.7,6.89,8.6,15.62,333.5,,,,12066.51,500.7,13.03,336.4
20220909,175820,2,Isolated,Weakening,N/A,6.5,118.1,Stratiform,In Cloud,SkewT suggests maybe Clear Near (Angela thinks In Cloud),,,,Yes,Yes,Eastern Atlantic,No,Yes,No,No,Maybe,,,,1006.1,18,936.6,648.8,560.7,4945.2,398,7619,447.1,356.2,306.1,91.4,76.2,83.8,80,444.8,567.2,1012.1,-0.1,967.8,,0.07,967.5,,268.8,392.8,661.6,-0.7,934.5,,0.25,933.7,,8.4,120.1,4.79,105.8,0.62,165.9,13.58,116.6,,,,12038.91,502,6.4,108.4
20220909,181319,2,Isolated,Weakening,N/A,6.5,118.1,Stratiform,Clear Near,,,,,No,No,Eastern Atlantic,No,Yes,No,No,Maybe,,,,1006.6,12.9,945,568,559.5,4953.7,398.3,7607.6,441.4,357.8,298.5,93.4,77.2,69.4,76.4,375.4,418.1,793.5,0,966.7,,,,,132.4,164.9,297.3,-18.9,920.6,214.6,-2.33,588.8,,3.36,177.1,15.62,104.9,2.68,288.3,14.48,118.4,,,,12036.25,501.6,11.84,113.5
20220909,183130,2,Isolated,Weakening,N/A,6.5,118.1,Stratiform,Clear Near,,,,,Yes,Yes,Eastern Atlantic,No,Yes,No,No,Maybe,,,,1007.1,7.2,995.7,108.6,563.9,4900.6,398.1,7615.3,447.4,357.5,304.1,85.5,78.9,81.7,79.8,168.2,424.6,592.8,-7.2,955.2,,-0.63,851.2,,103.9,336.1,440.1,-26.7,929.5,,-0.16,715.2,,3.88,71.9,12.47,115.8,8.5,295,7.57,96.3,,,,12348.85,499.6,4.45,20.4
20220909,183328,2,Isolated,Weakening,N/A,6.5,118.1,Stratiform,Clear Near,,,,,Yes,Yes,Eastern Atlantic,No,Yes,No,No,Maybe,,,,1006.6,7.5,989.9,154.9,568.8,4831.9,398,7617.3,447.6,359.8,302.2,90.3,70.2,67.2,69.5,249.5,529.4,778.9,-3.9,936.5,,-0.17,777.5,,151.3,393.2,544.5,-37.7,936.4,,-0.39,838,,10.42,19.9,6.67,55.2,14.9,269.2,14.93,335.2,,,,12360.8,501.2,7.09,207.3
