Year,Month,Day,Hour,Minute,Second,Classification
2022,9,23,9,32,14.2498000488281,0
2022,9,23,9,32,16.0997998046875,0
2022,9,23,9,32,17.9498000488281,0
2022,9,23,9,32,19.7997998046875,0
2022,9,23,9,32,21.6497998046875,0
2022,9,23,9,32,23.4998000488281,0
2022,9,23,9,32,25.3497998046875,0
2022,9,23,9,32,27.1998000488281,0
2022,9,23,9,32,29.0497998046875,0
2022,9,23,9,32,30.8997998046875,0
2022,9,23,9,32,32.7498000488281,0
2022,9,23,9,32,34.5997998046875,0
2022,9,23,9,32,36.4498000488281,0
2022,9,23,9,32,38.2997998046875,0
2022,9,23,9,32,40.1497998046875,0
2022,9,23,9,32,41.9998000488281,0
2022,9,23,9,32,43.8497998046875,0
2022,9,23,9,32,45.6998000488281,0
2022,9,23,9,32,47.5497998046875,0
2022,9,23,9,32,49.3997998046875,0
2022,9,23,9,32,51.2498000488281,0
2022,9,23,9,32,53.0997998046875,0
2022,9,23,9,32,54.9498000488281,0
2022,9,23,9,32,56.7997998046875,0
2022,9,23,9,32,58.6497998046875,0
2022,9,23,9,33,0.499800048828125,0
2022,9,23,9,33,2.3497998046875,0
2022,9,23,9,33,4.19980004882813,0
2022,9,23,9,33,6.0497998046875,0
2022,9,23,9,33,7.8997998046875,0
2022,9,23,9,33,9.74980004882812,0
2022,9,23,9,33,11.5997998046875,0
2022,9,23,9,33,13.4498000488281,0
2022,9,23,9,33,15.2997998046875,0
2022,9,23,9,33,17.1497998046875,0
2022,9,23,9,33,18.9998000488281,0
2022,9,23,9,33,20.8497998046875,0
2022,9,23,9,33,22.6998000488281,0
2022,9,23,9,33,24.5497998046875,0
2022,9,23,9,33,26.3997998046875,0
2022,9,23,9,33,28.2498000488281,0
2022,9,23,9,33,30.0997998046875,0
2022,9,23,9,33,31.9498000488281,0
2022,9,23,9,33,33.7997998046875,0
2022,9,23,9,33,35.6497998046875,0
2022,9,23,9,33,37.4998000488281,0
2022,9,23,9,33,39.3497998046875,0
2022,9,23,9,33,41.1998000488281,0
2022,9,23,9,33,43.0497998046875,0
2022,9,23,9,33,44.8997998046875,0
2022,9,23,9,33,46.7498000488281,0
2022,9,23,9,33,48.5997998046875,0
2022,9,23,9,33,50.4498000488281,0
2022,9,23,9,33,52.2997998046875,0
2022,9,23,9,33,54.1497998046875,0
2022,9,23,9,33,55.9998000488281,0
